MJD,date,state,r_x,r_y,r_z,v_x,v_y,v_z,v_inf_x,v_inf_y,v_inf_z,dv_x,dv_y,dv_z
6.0626896214257555e+04,2024-11-12,Deep Space,1.0790605021732709e+00,1.1674003799481851e+00,9.5350554338282014e-03,-6.6186795276740042e+00,3.0511943158079930e+01,1.2357088468968344e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0631845639117433e+04,2024-11-17,Deep Space,1.0592033630512483e+00,1.2535747012868721e+00,9.8798540285985892e-03,-7.2623255763367576e+00,2.9783717827254694e+01,1.1772925278557864e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0636795063977312e+04,2024-11-22,Deep Space,1.0376073571726800e+00,1.3376938938581566e+00,1.0208446810453266e-02,-7.8366392275125074e+00,2.9074444249308236e+01,1.1222937226745959e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0641744488837190e+04,2024-11-27,Deep Space,1.0144595458843140e+00,1.4198150518768666e+00,1.0521784647686184e-02,-8.3492664145613880e+00,2.8386018635346893e+01,1.0705281875732020e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0646693913697076e+04,2024-12-02,Deep Space,9.8992631026393685e-01,1.4999995375840136e+00,1.0820764415830254e-02,-8.8070383391082583e+00,2.7719566578989770e+01,1.0218038349411697e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0651643338556954e+04,2024-12-07,Deep Space,9.6415560364887265e-01,1.5783110614910185e+00,1.1106227847788258e-02,-9.2160273556872063e+00,2.7075633522764868e+01,9.7592792141170420e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0656592763416833e+04,2024-12-12,Deep Space,9.3727902816091668e-01,1.6548142460449988e+00,1.1378962085094634e-02,-9.5816127715856112e+00,2.6454333920120966e+01,9.3271188209516326e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0661542188276711e+04,2024-12-17,Deep Space,9.0941371771777513e-01,1.7295735661772427e+00,1.1639701352272786e-02,-9.9085495270843538e+00,2.5855466992082356e+01,8.9197444653093344e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0666491613136597e+04,2024-12-21,Deep Space,8.8066402598490945e-01,1.8026525812310512e+00,1.1889129335502428e-02,-1.0201035448774086e+01,2.5278605872361737e+01,8.5354352009296738e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0671441037996476e+04,2024-12-26,Deep Space,8.5112302722716582e-01,1.8741133905346639e+00,1.2127881966982487e-02,-1.0462774608055520e+01,2.4723165786328519e+01,8.1725719271553171e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0676390462856354e+04,2024-12-31,Deep Space,8.2087384322288437e-01,1.9440162594757893e+00,1.2356550405661335e-02,-1.0697035524822684e+01,2.4188455847734090e+01,7.8296414192464747e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0681339887716233e+04,2025-01-05,Deep Space,7.8999081181891828e-01,2.0124193746847761e+00,1.2575684070508252e-02,-1.0906703726362210e+01,2.3673718135864700e+01,7.5052362485685573e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0686289312576118e+04,2025-01-10,Deep Space,7.5854051337223827e-01,2.0793786962680860e+00,1.2785793630018229e-02,-1.1094328644416441e+01,2.3178156946480478e+01,7.1980519970537588e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
